exercise_id,exercise_name,equipment,variation,utility,mechanics,force,target_muscles,main_muscle,difficulty_(1-5),type,Description
1,Flies: Seated Fly,"dumbbell, cable, lever",Yes,Auxiliary,Isolated,Push,Pectoralis Major Sternal,Chest,2,Isolation,"A seated fly targets the pectoral muscles by bringing the arms together in a hugging motion. Sitting upright stabilizes the torso, allowing you to focus on chest contraction. This exercise is often done with cables or dumbbells for constant tension."
3,Chin-Up,"body weight, body weight (weighted), assisted machine",No,Basic,Compound,Pull,"Latissimus Dorsi, Teres Major, Lower Trapezius, Rhomboids",Back,4,Compound,"A chin-up is a bodyweight pulling exercise using an underhand grip, primarily targeting the biceps and lats. Pull your chin above the bar while keeping your body stable. This move builds both strength and upper-body muscle mass."
5,Upright Shoulder External Rotation (With Support),"dumbbell, cable",No,Auxiliary,Isolated,Pull,"Infraspinatus, Teres Minor",Back,1,Isolation,This exercise strengthens the rotator cuff by rotating the arm outward with elbow supported. Performing it upright helps isolate the small stabilizing shoulder muscles. It s great for shoulder injury prevention and rehabilitation.
7,Wide Grip Pull-Up,"body weight, body weight (weighted), assisted machine",Yes,Basic,Compound,Pull,"Latissimus Dorsi, Teres Major, Lower Trapezius, Rhomboids",Back,4,Compound,"A wide grip pull-up emphasizes the outer lats, giving the back a broader appearance. The wide hand placement reduces bicep involvement and increases lat activation. It s a challenging move that develops pulling strength and width."
9,Plank,"body weight, body weight (weighted)",No,Basic,Compound,Push,Various,Full Body,2,Isolation,"The plank is a core stability hold where the body stays straight like a board. It engages the abdominals, lower back, and shoulders without movement. Holding proper form builds endurance and overall core strength."
11,Standing Shoulder Internal Rotation,"cable, dumbbell",No,Auxiliary,Isolated,Pull,Subscapularis,Back,1,Isolation,This movement strengthens the rotator cuff by rotating the arm inward. Standing during the exercise allows for natural shoulder positioning. It s useful for shoulder health and injury prevention.
13,Seated Rows: Narrow Grip,"cable, lever",Yes,Basic,Compound,Pull,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius",Back,2,Compound,The narrow grip seated row focuses on the mid-back and biceps. Pull the handle toward your torso while keeping elbows close to your body. This grip encourages more range of motion and deep muscle contraction.
15,Decline Chest Press,"barbell, dumbbell, lever",No,Basic,Compound,Push,Pectoralis Major Sternal,Chest,3,Compound,"Performed on a decline bench, this chest press targets the lower pectorals. The angled position shifts emphasis from the shoulders to the lower chest fibers. It s a great way to build balanced chest development."
17,Seated Row: Wide Grip,"cable, lever",Yes,Basic,Compound,Pull,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius",Back,2,Compound,"A wide grip seated row works the upper back and rear deltoids. By keeping the elbows flared, you engage the traps and rhomboids more. It s effective for improving posture and upper back strength."
19,Shoulder Internal Rotation: On Floor,"dumbbell, cable",Yes,Auxiliary,Isolated,Pull,Subscapularis,Back,1,Isolation,"Done lying on your side, this move rotates the arm inward to strengthen the rotator cuff. The floor provides support to control movement. It s often used in rehab or warm-up routines."
21,Shrug,"dumbbell, barbell, lever",No,Basic,Isolated,Pull,"Upper Trapezius, Levator Scapulae, Middle Trapezius",Back,1,Isolation,"The shrug is a simple movement that elevates the shoulders to target the trapezius muscles. It can be performed with dumbbells, a barbell, or cables. Strong traps help improve posture and shoulder stability."
23,Inverted Row: On Hips,"body weight, suspension",Yes,Basic,Compound,Pull,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius",Back,3,Compound,This variation of the inverted row supports your hips on a bench or bar. It reduces lower body strain while focusing on the upper back. Great for beginners building pulling strength.
25,Pulldown,"cable, assisted machine",No,Basic,Compound,Pull,"Latissimus Dorsi, Teres Major, Lower Trapezius, Rhomboids",Back,2,Compound,The pulldown is a cable exercise pulling a bar toward your chest to train the lats. Keeping your torso upright targets the upper back more effectively. It s a machine-based alternative to pull-ups.
27,Pull-Up (Open-Centered Bar): Standing,"body weight, body weight (weighted)",Yes,Basic,Compound,Pull,"Latissimus Dorsi, Teres Major, Lower Trapezius, Rhomboids",Back,4,Compound,A pull-up done with an open-centered bar allows varied grip positions. Standing to start helps with body alignment and reduces strain on the wrists. This is useful for adding grip variety in training.
29,Narrow Grip Pull-Up,"body weight, body weight (weighted), assisted machine",Yes,Basic,Compound,Pull,"Latissimus Dorsi, Teres Major, Lower Trapezius, Rhomboids",Back,4,Compound,This pull-up variation uses a close grip to emphasize the biceps and inner lats. Bringing the hands closer together increases elbow flexion. It s a good choice for arm and back development.
31,High Knees,plyometric,No,Auxiliary,Compound,Push,Various,Full Body,2,Cardio,A dynamic cardio exercise where you quickly lift your knees toward your chest. It boosts heart rate and improves agility. Often used as a warm-up or conditioning drill.
33,Calf Extension,"lever, sled, barbell, dumbbell",No,Basic,Isolated,Push,Gastrocnemius,Calves,2,Isolation,This movement strengthens the calf muscles by extending the ankles. It can be done seated or standing for different muscle emphasis. Regular calf work improves stability and lower leg power.
35,Seated Rows,"cable, lever",Yes,Basic,Compound,Pull,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius",Back,2,Compound,A pulling motion done from a seated position to work the back and biceps. Keeping the chest up ensures proper posture. This is a fundamental exercise for overall back strength.
