video_id,exercise_id,youtube_link
1,1,https://youtube.com/shorts/5lvYHZRNHYw?si=_0FGFFb9jKSWWV7f
2,2,https://youtube.com/shorts/zQU_oGaMO_o?si=I5gONwU13u4fCVCW
3,3,https://youtube.com/shorts/g5FvgXa7RsU?si=odrqOrMeTwOI4yxt
4,4,https://youtube.com/shorts/8TXxRtfT0c0?si=39D-cznl4vw1R5Pc
5,5,https://youtube.com/shorts/rJ7bGRwRd5s?si=ZS2iZWJ46-fmr77v
6,6,https://youtube.com/shorts/4K_wyK4zHac?si=EyI2j4OfRdzxpN-x
7,7,https://youtube.com/shorts/64P2fFSz6SE?si=em9b_Pbj52NxoR0v
8,8,https://youtube.com/shorts/LAI3pqWvoeo?si=V6joZywZpc6GRb2a
9,9,
10,10,
11,11,https://youtube.com/shorts/INN2Egd02nE?si=qBV4CBWVb1cvMI3U
12,12,https://youtube.com/shorts/ovSL4RbgIgI?si=5z35Xlt_pZDoJM6d
13,13,https://youtube.com/shorts/EhBTnU0Zdvg?si=hr2S9zPOkVilXQzP
14,14,
15,15,https://youtube.com/shorts/KkkqXj9P-jA?si=GvKiArGQ7bG8Wrxr
16,16,
17,17,
18,18,https://youtube.com/shorts/vn3S9gumDfg?si=qBBkJ2xKkvHQzWsc
19,19,https://youtube.com/shorts/-5xlgqe8bhM?si=9IeOBPgMn5TCryAh
20,20,https://youtube.com/shorts/0PVUYaqsS6w?si=G1jy8QHOb9UDMpf9
21,21,https://youtube.com/shorts/Ughn48sMa5g?si=1n-Mq-gAIxfPX7C1
22,22,https://youtube.com/shorts/3Bgpai2RLxg?si=lA3JXm4dV6oGj0c-
23,23,https://youtube.com/shorts/Iq6Y3bMAT-w?si=Kvy0mVPSi93udJxo
24,24,https://youtube.com/shorts/lCvPaB3i_7I?si=H_ugmlU-tKSyWuA7
25,25,https://youtube.com/shorts/lCvPaB3i_7I?si=RvzQZNViW9lV2-eA
26,26,https://youtube.com/shorts/EAjc6_Wjoq4?si=0OWAqwtCKo0UH67t
27,27,https://youtube.com/shorts/GsvDskn7838?si=MJGHpn07br8glyt-
28,28,https://youtube.com/shorts/M_P-uLUsgQA?si=u4VHX3x5VL73DLSk
29,29,https://youtube.com/shorts/MTTIx88Mb30?si=vh8iXl1dkPdyDIdI
30,30,https://youtube.com/shorts/1sSlhl6ywRo?si=coJEUfepJRTHD-XS
31,31,https://youtube.com/shorts/kHN7pHWG274?si=L1-tbDqwutsIevPU
32,32,https://youtube.com/shorts/TU_N3SdinRg?si=_i-mctCqbHBgdXkF
33,33,https://youtube.com/shorts/LsO57cimFxc?si=jabiuS0C76c13FKU
34,34,https://youtube.com/shorts/H3KvpS8i6AY?si=fUoQS1ez0mJzzEob
35,35,https://youtube.com/shorts/bcfWkYOH8gU?si=jNveCn0Z3q83dEoA
36,36,https://youtube.com/shorts/tS5--1YvUU0?si=CwW9Zhot8-0mOL5C
37,37,https://youtube.com/shorts/kmqawBXNW8U?si=E2GHn4lt4xPSmTVP
38,38,https://youtube.com/shorts/9PpKUupUQ4Q?si=x5wqG351mJls_OJD
39,39,https://youtube.com/shorts/SfhP_DE7p5w?si=H9KCJJpKI1gzAWOr
40,40,
41,41,https://youtube.com/shorts/v3m4IzgQye8?si=fT3CAlsZFn7OUxUp
42,42,
43,43,
44,44,https://youtube.com/shorts/ex6UiEA-lVo?si=hqz5-2p4r1v7FKTX
45,45,https://youtube.com/shorts/GqFqX-VzgWI?si=jni8Gstqx05chnbU
46,46,https://youtube.com/shorts/FjbGZJbvo6g?si=woKcaup6jHYPXJdV
47,47,https://youtube.com/shorts/9lhJEnDsyIc?si=R-Xs7snwRwYCQETk
48,48,https://youtube.com/shorts/_zcsxyr28nY?si=FVjSM0FookJ1bzWy
49,49,https://youtube.com/shorts/AwUQkdp42Tc?si=P0MyGuTYz7V0cgrt
50,50,
51,51,
52,52,https://youtube.com/shorts/7UMxWUIavcE?si=pu4YEEkKYLQ70fmG
53,53,https://youtube.com/shorts/DW89sZBXr0c?si=Fe8nZTvwfV9YuvdU
54,54,https://youtube.com/shorts/LcSrg99_6qs?si=rcP0R7RbCTtaVWnu
55,55,https://youtube.com/shorts/ih91kD1RMk8?si=ayx0PaXDbhqe49my
56,56,https://youtube.com/shorts/FB3K9-Vx7q4?si=cxEUs8L05EwUqkJt
57,57,https://youtube.com/shorts/yiB5j0_lwIE?si=tdRX2McSE3t9fft6
58,58,
59,59,https://youtube.com/shorts/lDS_aiUED10?si=tbCu3VWniV0_tMEU
60,60,https://youtube.com/shorts/pHLa2hhtHEg?si=vA4gxIk-1-ewYHWD
61,61,https://youtube.com/shorts/H9Mi2W0oqKA?si=Zk1A93yPVhgF81N5
62,62,https://youtube.com/shorts/Y0OJh3H0PAs?si=xUYdl2LeP39WwTtm
63,63,https://youtube.com/shorts/LdSzPo4J8vA?si=5SY5QY7hs49eyp9P
64,64,https://youtube.com/shorts/7UMxWUIavcE?si=pu4YEEkKYLQ70fmG
65,65,
66,66,https://youtube.com/shorts/79-N_YVTDV0?si=-0Yze08NIst4BwA8
67,67,https://youtube.com/shorts/M_P-uLUsgQA?si=-faZjIebBzd4i7qe
68,68,https://youtube.com/shorts/EAjc6_Wjoq4?si=0OWAqwtCKo0UH67t
69,69,https://youtube.com/shorts/MTTIx88Mb30?si=vh8iXl1dkPdyDIdI
70,70,
71,71,https://youtube.com/shorts/kHN7pHWG274?si=drd4-wIq7oU53phs
72,72,https://youtube.com/shorts/X8yQ68WDpBg?si=H8zZtN21b8-BJFmh
73,73,https://youtube.com/shorts/LXyCvuLuaKQ?si=Xhf3sK8TDwNpl-dV
74,74,https://youtube.com/shorts/Iq6Y3bMAT-w?si=Kvy0mVPSi93udJxo
75,75,https://youtube.com/shorts/Y2r8-u_RDw8?si=iU9YVDcZHEw8k-PI
76,76,https://youtube.com/shorts/Ughn48sMa5g?si=1n-Mq-gAIxfPX7C1
77,77,https://youtube.com/shorts/vn3S9gumDfg?si=0l26UMsTpAdjovxR
78,78,
79,79,https://youtube.com/shorts/V3r6HgQjhwg?si=3Nxa4OxnQi7-MerE
80,80,
81,81,https://youtube.com/shorts/_zcsxyr28nY?si=FVjSM0FookJ1bzWy
82,82,
83,83,https://youtube.com/shorts/3pokJS7KJGw?si=hMBy2E02dIsB_TED
84,84,https://youtube.com/shorts/VCNr-3zD04s?si=gnRNcqZfLO84xLEp
85,85,
86,86,https://youtube.com/shorts/NSkE-smj3M4?si=W6G95EOk45u4fAuf
87,87,
88,88,https://youtube.com/shorts/_lKYLTwzqMo?si=4RxOsWyi-cy9EcFI
89,89,https://youtube.com/shorts/VFZeDx162ao?si=RMqWS6waLzJCP6tN
90,90,https://youtube.com/shorts/EY0GYMjgNiQ?si=QCuxicsQe9UGWH8c
91,91,
92,92,https://youtube.com/shorts/w037XVeddk8?si=PZ4_wCiPYUNDY9iY
93,93,https://youtube.com/shorts/wAXZ38YhfCQ?si=z3swi4g8Ir5x9nOB
94,94,https://youtube.com/shorts/QBBFgEktOMo?si=hAs5PFoNqNzkgnFS
95,95,https://youtube.com/shorts/DW89sZBXr0c?si=LAR-ZrmYhksie5ji
96,96,https://youtube.com/shorts/fi2WW-VY-AY?si=SEk9RfidfjszEcAx
97,97,https://youtube.com/shorts/LcSrg99_6qs?si=rcP0R7RbCTtaVWnu
98,98,
99,99,
100,100,https://youtube.com/shorts/dWXKsn8Qx3I?si=N8kHRrVvCCrFsTS6
101,101,https://youtube.com/shorts/cwigpLFCLvs?si=lOFkFy5i_84u3FWn
